dataset,model,pooling,n_shots,seed,k,accuracy,macro_f1
cifar10,dino_vits16,cls,1,0,1,0.5938000082969666,0.5796368229249019
cifar10,dino_vits16,cls,1,0,5,0.5938000082969666,0.5796368229249019
cifar10,dino_vits16,cls,1,0,20,0.5938000082969666,0.5796368229249019
cifar10,dino_vits16,cls,1,1,1,0.520799994468689,0.5273761934668265
cifar10,dino_vits16,cls,1,1,5,0.520799994468689,0.5273761934668265
cifar10,dino_vits16,cls,1,1,20,0.520799994468689,0.5273761934668265
cifar10,dino_vits16,cls,1,2,1,0.48249998688697815,0.43879927182420486
cifar10,dino_vits16,cls,1,2,5,0.48249998688697815,0.43879927182420486
cifar10,dino_vits16,cls,1,2,20,0.48249998688697815,0.43879927182420486
cifar10,dino_vits16,cls,2,0,1,0.6608999967575073,0.6557069777653604
cifar10,dino_vits16,cls,2,0,5,0.6740999817848206,0.6679766421119057
cifar10,dino_vits16,cls,2,0,20,0.6754999756813049,0.6695013602035298
cifar10,dino_vits16,cls,2,1,1,0.6036999821662903,0.6057726521298977
cifar10,dino_vits16,cls,2,1,5,0.6247000098228455,0.6257686613677442
cifar10,dino_vits16,cls,2,1,20,0.6225000023841858,0.6239099290975904
cifar10,dino_vits16,cls,2,2,1,0.6169000267982483,0.6122869407235894
cifar10,dino_vits16,cls,2,2,5,0.6238999962806702,0.619239934356444
cifar10,dino_vits16,cls,2,2,20,0.6283000111579895,0.6248788467158399
cifar10,dino_vits16,cls,5,0,1,0.7519999742507935,0.7518510230710609
cifar10,dino_vits16,cls,5,0,5,0.7804999947547913,0.7792561710144058
cifar10,dino_vits16,cls,5,0,20,0.7921000123023987,0.7898842848471611
cifar10,dino_vits16,cls,5,1,1,0.7117000222206116,0.7111532338020162
cifar10,dino_vits16,cls,5,1,5,0.7405999898910522,0.7383140967795442
cifar10,dino_vits16,cls,5,1,20,0.7527999877929688,0.749969016754782
cifar10,dino_vits16,cls,5,2,1,0.7251999974250793,0.7219004141624381
cifar10,dino_vits16,cls,5,2,5,0.7662000060081482,0.7628059001815802
cifar10,dino_vits16,cls,5,2,20,0.771399974822998,0.7681015392691105
cifar10,dino_vits16,cls,10,0,1,0.7766000032424927,0.77573918875694
cifar10,dino_vits16,cls,10,0,5,0.8105999827384949,0.8089967067839707
cifar10,dino_vits16,cls,10,0,20,0.830299973487854,0.8279412788181354
cifar10,dino_vits16,cls,10,1,1,0.7526999711990356,0.7520310968989148
cifar10,dino_vits16,cls,10,1,5,0.7868000268936157,0.7852750882664306
cifar10,dino_vits16,cls,10,1,20,0.8069999814033508,0.8052367855232812
cifar10,dino_vits16,cls,10,2,1,0.7645999789237976,0.7633302393058787
cifar10,dino_vits16,cls,10,2,5,0.805400013923645,0.8036858367520834
cifar10,dino_vits16,cls,10,2,20,0.8137999773025513,0.8122187554902774
cifar10,dino_vits16,cls,20,0,1,0.8004999756813049,0.7989073615776977
cifar10,dino_vits16,cls,20,0,5,0.8291000127792358,0.8273721662751077
cifar10,dino_vits16,cls,20,0,20,0.8485000133514404,0.8463569611865458
cifar10,dino_vits16,cls,20,1,1,0.7825999855995178,0.7810645973348469
cifar10,dino_vits16,cls,20,1,5,0.8190000057220459,0.816731572841271
cifar10,dino_vits16,cls,20,1,20,0.8416000008583069,0.839202042975265
cifar10,dino_vits16,cls,20,2,1,0.802299976348877,0.800441709955787
cifar10,dino_vits16,cls,20,2,5,0.8353999853134155,0.8334538563763447
cifar10,dino_vits16,cls,20,2,20,0.8500000238418579,0.847913800963792
cifar10,dino_vits16,cls,50,0,1,0.8328999876976013,0.8317910236064255
cifar10,dino_vits16,cls,50,0,5,0.864300012588501,0.8631647619481363
cifar10,dino_vits16,cls,50,0,20,0.8725000023841858,0.8711770956152497
cifar10,dino_vits16,cls,50,1,1,0.8241999745368958,0.8226709310670459
cifar10,dino_vits16,cls,50,1,5,0.8592000007629395,0.8573530722855679
cifar10,dino_vits16,cls,50,1,20,0.8684999942779541,0.8662107790812321
cifar10,dino_vits16,cls,50,2,1,0.8295999765396118,0.8273832348199195
cifar10,dino_vits16,cls,50,2,5,0.8614000082015991,0.8590861357126538
cifar10,dino_vits16,cls,50,2,20,0.8723999857902527,0.8702209976850437
cifar10,dino_vits16,cls,100,0,1,0.8582000136375427,0.8573302178546905
cifar10,dino_vits16,cls,100,0,5,0.8855000138282776,0.8847313706235453
cifar10,dino_vits16,cls,100,0,20,0.8921999931335449,0.8913183465390684
cifar10,dino_vits16,cls,100,1,1,0.847100019454956,0.8461379501236227
cifar10,dino_vits16,cls,100,1,5,0.8783000111579895,0.8770049476662038
cifar10,dino_vits16,cls,100,1,20,0.8848999738693237,0.8836025755382375
cifar10,dino_vits16,cls,100,2,1,0.859000027179718,0.8576167749621668
cifar10,dino_vits16,cls,100,2,5,0.8884000182151794,0.886887265711691
cifar10,dino_vits16,cls,100,2,20,0.8944000005722046,0.8930450909799144
cifar10,dino_vits16,mean_pool,1,0,1,0.38679999113082886,0.3744969232186622
cifar10,dino_vits16,mean_pool,1,0,5,0.38679999113082886,0.3744969232186622
cifar10,dino_vits16,mean_pool,1,0,20,0.38679999113082886,0.3744969232186622
cifar10,dino_vits16,mean_pool,1,1,1,0.301800012588501,0.28885424506308083
cifar10,dino_vits16,mean_pool,1,1,5,0.301800012588501,0.28885424506308083
cifar10,dino_vits16,mean_pool,1,1,20,0.301800012588501,0.28885424506308083
cifar10,dino_vits16,mean_pool,1,2,1,0.2962999939918518,0.2594592920837467
cifar10,dino_vits16,mean_pool,1,2,5,0.2962999939918518,0.2594592920837467
cifar10,dino_vits16,mean_pool,1,2,20,0.2962999939918518,0.2594592920837467
cifar10,dino_vits16,mean_pool,2,0,1,0.39480000734329224,0.3791113072024849
cifar10,dino_vits16,mean_pool,2,0,5,0.4068000018596649,0.3872967220581764
cifar10,dino_vits16,mean_pool,2,0,20,0.41370001435279846,0.39426538866023353
cifar10,dino_vits16,mean_pool,2,1,1,0.3817000091075897,0.3706487150670331
cifar10,dino_vits16,mean_pool,2,1,5,0.4000999927520752,0.38621439168014826
cifar10,dino_vits16,mean_pool,2,1,20,0.4178999960422516,0.4053346094954816
cifar10,dino_vits16,mean_pool,2,2,1,0.3898000121116638,0.3716987150438357
cifar10,dino_vits16,mean_pool,2,2,5,0.37630000710487366,0.35659200165811195
cifar10,dino_vits16,mean_pool,2,2,20,0.39750000834465027,0.37694042549217344
cifar10,dino_vits16,mean_pool,5,0,1,0.4440999925136566,0.4326249879563825
cifar10,dino_vits16,mean_pool,5,0,5,0.4499000012874603,0.4362966185925588
cifar10,dino_vits16,mean_pool,5,0,20,0.45019999146461487,0.42909444628296695
cifar10,dino_vits16,mean_pool,5,1,1,0.4357999861240387,0.4288906855541647
cifar10,dino_vits16,mean_pool,5,1,5,0.4641999900341034,0.4467678521665964
cifar10,dino_vits16,mean_pool,5,1,20,0.4821000099182129,0.4597915691539652
cifar10,dino_vits16,mean_pool,5,2,1,0.4499000012874603,0.4371971664682774
cifar10,dino_vits16,mean_pool,5,2,5,0.4837999939918518,0.4715965239040851
cifar10,dino_vits16,mean_pool,5,2,20,0.5123000144958496,0.4882658657077429
cifar10,dino_vits16,mean_pool,10,0,1,0.486299991607666,0.4758049382738106
cifar10,dino_vits16,mean_pool,10,0,5,0.5005999803543091,0.48559414611605833
cifar10,dino_vits16,mean_pool,10,0,20,0.49729999899864197,0.47019123336642465
cifar10,dino_vits16,mean_pool,10,1,1,0.47929999232292175,0.4715142944614227
cifar10,dino_vits16,mean_pool,10,1,5,0.5188000202178955,0.5060534452889541
cifar10,dino_vits16,mean_pool,10,1,20,0.5081999897956848,0.4887218773866432
cifar10,dino_vits16,mean_pool,10,2,1,0.4812000095844269,0.4693511092731182
cifar10,dino_vits16,mean_pool,10,2,5,0.5235999822616577,0.5079512595081119
cifar10,dino_vits16,mean_pool,10,2,20,0.5289000272750854,0.5039352329002807
cifar10,dino_vits16,mean_pool,20,0,1,0.5299000144004822,0.520406465329463
cifar10,dino_vits16,mean_pool,20,0,5,0.558899998664856,0.5463528579631164
cifar10,dino_vits16,mean_pool,20,0,20,0.5609999895095825,0.53722397117991
cifar10,dino_vits16,mean_pool,20,1,1,0.5080999732017517,0.5024676553178349
cifar10,dino_vits16,mean_pool,20,1,5,0.5418000221252441,0.5301660144225705
cifar10,dino_vits16,mean_pool,20,1,20,0.5368000268936157,0.5208325785075136
cifar10,dino_vits16,mean_pool,20,2,1,0.5105999708175659,0.49785495892338777
cifar10,dino_vits16,mean_pool,20,2,5,0.5498999953269958,0.5355583994025148
cifar10,dino_vits16,mean_pool,20,2,20,0.5472999811172485,0.5290711216618489
cifar10,dino_vits16,mean_pool,50,0,1,0.5782999992370605,0.5710205357737388
cifar10,dino_vits16,mean_pool,50,0,5,0.612500011920929,0.6031795193551286
cifar10,dino_vits16,mean_pool,50,0,20,0.6147000193595886,0.6007663644603021
cifar10,dino_vits16,mean_pool,50,1,1,0.578000009059906,0.570713407506212
cifar10,dino_vits16,mean_pool,50,1,5,0.6033999919891357,0.5916188176053856
cifar10,dino_vits16,mean_pool,50,1,20,0.5893999934196472,0.5733954617285864
cifar10,dino_vits16,mean_pool,50,2,1,0.5511000156402588,0.5436290249074965
cifar10,dino_vits16,mean_pool,50,2,5,0.5995000004768372,0.5873923237345791
cifar10,dino_vits16,mean_pool,50,2,20,0.6086000204086304,0.5902979191566701
cifar10,dino_vits16,mean_pool,100,0,1,0.6136999726295471,0.6076548244069746
cifar10,dino_vits16,mean_pool,100,0,5,0.6485000252723694,0.6414974950897594
cifar10,dino_vits16,mean_pool,100,0,20,0.6492000222206116,0.640085500907954
cifar10,dino_vits16,mean_pool,100,1,1,0.6134999990463257,0.6075170535490011
cifar10,dino_vits16,mean_pool,100,1,5,0.641700029373169,0.6331390263366936
cifar10,dino_vits16,mean_pool,100,1,20,0.6291000247001648,0.615531026042291
cifar10,dino_vits16,mean_pool,100,2,1,0.6014000177383423,0.5940894081061912
cifar10,dino_vits16,mean_pool,100,2,5,0.6419000029563904,0.6319428792033233
cifar10,dino_vits16,mean_pool,100,2,20,0.6420999765396118,0.6263262624157806
cifar10,dinov2_vits14,cls,1,0,1,0.7350999712944031,0.7291561489700549
cifar10,dinov2_vits14,cls,1,0,5,0.7350999712944031,0.7291561489700549
cifar10,dinov2_vits14,cls,1,0,20,0.7350999712944031,0.7291561489700549
cifar10,dinov2_vits14,cls,1,1,1,0.6690000295639038,0.6641870126334758
cifar10,dinov2_vits14,cls,1,1,5,0.6690000295639038,0.6641870126334758
cifar10,dinov2_vits14,cls,1,1,20,0.6690000295639038,0.6641870126334758
cifar10,dinov2_vits14,cls,1,2,1,0.5756999850273132,0.5336545588958519
cifar10,dinov2_vits14,cls,1,2,5,0.5756999850273132,0.5336545588958519
cifar10,dinov2_vits14,cls,1,2,20,0.5756999850273132,0.5336545588958519
cifar10,dinov2_vits14,cls,2,0,1,0.7843000292778015,0.7804369871056098
cifar10,dinov2_vits14,cls,2,0,5,0.7978000044822693,0.7926652573984778
cifar10,dinov2_vits14,cls,2,0,20,0.7978000044822693,0.7925122379763565
cifar10,dinov2_vits14,cls,2,1,1,0.7804999947547913,0.7795549530137953
cifar10,dinov2_vits14,cls,2,1,5,0.7991999983787537,0.7969849431526306
cifar10,dinov2_vits14,cls,2,1,20,0.7967000007629395,0.7945986370838163
cifar10,dinov2_vits14,cls,2,2,1,0.7565000057220459,0.7497551369631219
cifar10,dinov2_vits14,cls,2,2,5,0.7687000036239624,0.7632534514201038
cifar10,dinov2_vits14,cls,2,2,20,0.7694000005722046,0.7640373186215368
cifar10,dinov2_vits14,cls,5,0,1,0.8521000146865845,0.8518934987286544
cifar10,dinov2_vits14,cls,5,0,5,0.8701000213623047,0.8693423393879908
cifar10,dinov2_vits14,cls,5,0,20,0.8722000122070312,0.8712574256315705
cifar10,dinov2_vits14,cls,5,1,1,0.864799976348877,0.8648104659414966
cifar10,dinov2_vits14,cls,5,1,5,0.8805999755859375,0.8802733769375726
cifar10,dinov2_vits14,cls,5,1,20,0.8830999732017517,0.8826787546667665
cifar10,dinov2_vits14,cls,5,2,1,0.835099995136261,0.8333506931446252
cifar10,dinov2_vits14,cls,5,2,5,0.858299970626831,0.856472309537294
cifar10,dinov2_vits14,cls,5,2,20,0.8607000112533569,0.8589502617281827
cifar10,dinov2_vits14,cls,10,0,1,0.8720999956130981,0.8717454854774038
cifar10,dinov2_vits14,cls,10,0,5,0.895799994468689,0.8953253041067656
cifar10,dinov2_vits14,cls,10,0,20,0.9043999910354614,0.9037430464079698
cifar10,dinov2_vits14,cls,10,1,1,0.8849999904632568,0.8846908271672598
cifar10,dinov2_vits14,cls,10,1,5,0.8998000025749207,0.8992823967973301
cifar10,dinov2_vits14,cls,10,1,20,0.906000018119812,0.9053863127764622
cifar10,dinov2_vits14,cls,10,2,1,0.8723999857902527,0.8714571900784971
cifar10,dinov2_vits14,cls,10,2,5,0.8912000060081482,0.8902536506130913
cifar10,dinov2_vits14,cls,10,2,20,0.8995000123977661,0.8985409541864376
cifar10,dinov2_vits14,cls,20,0,1,0.8967999815940857,0.8968557729965296
cifar10,dinov2_vits14,cls,20,0,5,0.9179999828338623,0.9179390512554949
cifar10,dinov2_vits14,cls,20,0,20,0.9239000082015991,0.9236488252307362
cifar10,dinov2_vits14,cls,20,1,1,0.8970999717712402,0.896671972946605
cifar10,dinov2_vits14,cls,20,1,5,0.9140999913215637,0.9135525711920487
cifar10,dinov2_vits14,cls,20,1,20,0.920199990272522,0.9194529119555792
cifar10,dinov2_vits14,cls,20,2,1,0.9027000069618225,0.9023566868333374
cifar10,dinov2_vits14,cls,20,2,5,0.9229999780654907,0.9227063607889786
cifar10,dinov2_vits14,cls,20,2,20,0.9286999702453613,0.9283307171833682
cifar10,dinov2_vits14,cls,50,0,1,0.9190999865531921,0.9191869026160191
cifar10,dinov2_vits14,cls,50,0,5,0.9354000091552734,0.935391730147718
cifar10,dinov2_vits14,cls,50,0,20,0.9424999952316284,0.9424083307637998
cifar10,dinov2_vits14,cls,50,1,1,0.9182000160217285,0.9179438615892288
cifar10,dinov2_vits14,cls,50,1,5,0.9330999851226807,0.9327427514622533
cifar10,dinov2_vits14,cls,50,1,20,0.9350000023841858,0.9345077718684477
cifar10,dinov2_vits14,cls,50,2,1,0.9172000288963318,0.9170994435961266
cifar10,dinov2_vits14,cls,50,2,5,0.9332000017166138,0.9330432557760329
cifar10,dinov2_vits14,cls,50,2,20,0.9387000203132629,0.9384360899737707
cifar10,dinov2_vits14,cls,100,0,1,0.9296000003814697,0.929627816917141
cifar10,dinov2_vits14,cls,100,0,5,0.9462000131607056,0.9461767300976863
cifar10,dinov2_vits14,cls,100,0,20,0.9503999948501587,0.9503675160633123
cifar10,dinov2_vits14,cls,100,1,1,0.9316999912261963,0.9315075958357004
cifar10,dinov2_vits14,cls,100,1,5,0.9449999928474426,0.944887095847956
cifar10,dinov2_vits14,cls,100,1,20,0.9484000205993652,0.9482650554502416
cifar10,dinov2_vits14,cls,100,2,1,0.9329000115394592,0.9329193172084936
cifar10,dinov2_vits14,cls,100,2,5,0.9495000243186951,0.9494528968659266
cifar10,dinov2_vits14,cls,100,2,20,0.9542999863624573,0.9542394658385746
cifar10,dinov2_vits14,mean_pool,1,0,1,0.7580999732017517,0.7467929442221367
cifar10,dinov2_vits14,mean_pool,1,0,5,0.7580999732017517,0.7467929442221367
cifar10,dinov2_vits14,mean_pool,1,0,20,0.7580999732017517,0.7467929442221367
cifar10,dinov2_vits14,mean_pool,1,1,1,0.6431000232696533,0.6471892082391391
cifar10,dinov2_vits14,mean_pool,1,1,5,0.6431000232696533,0.6471892082391391
cifar10,dinov2_vits14,mean_pool,1,1,20,0.6431000232696533,0.6471892082391391
cifar10,dinov2_vits14,mean_pool,1,2,1,0.5856000185012817,0.537512703942995
cifar10,dinov2_vits14,mean_pool,1,2,5,0.5856000185012817,0.537512703942995
cifar10,dinov2_vits14,mean_pool,1,2,20,0.5856000185012817,0.537512703942995
cifar10,dinov2_vits14,mean_pool,2,0,1,0.7689999938011169,0.7680351299716444
cifar10,dinov2_vits14,mean_pool,2,0,5,0.7858999967575073,0.7839820454638831
cifar10,dinov2_vits14,mean_pool,2,0,20,0.7864000201225281,0.7845105509619563
cifar10,dinov2_vits14,mean_pool,2,1,1,0.7591000199317932,0.7580841379777759
cifar10,dinov2_vits14,mean_pool,2,1,5,0.777899980545044,0.7760750851785502
cifar10,dinov2_vits14,mean_pool,2,1,20,0.7778000235557556,0.7761194552289963
cifar10,dinov2_vits14,mean_pool,2,2,1,0.7315000295639038,0.7095003500624782
cifar10,dinov2_vits14,mean_pool,2,2,5,0.7476000189781189,0.7260751204115417
cifar10,dinov2_vits14,mean_pool,2,2,20,0.7452999949455261,0.7237875724471501
cifar10,dinov2_vits14,mean_pool,5,0,1,0.8288999795913696,0.8263501079208924
cifar10,dinov2_vits14,mean_pool,5,0,5,0.8471999764442444,0.8437118628801311
cifar10,dinov2_vits14,mean_pool,5,0,20,0.8497999906539917,0.8460200750013115
cifar10,dinov2_vits14,mean_pool,5,1,1,0.829800009727478,0.8276756360571573
cifar10,dinov2_vits14,mean_pool,5,1,5,0.8445000052452087,0.8423347185468941
cifar10,dinov2_vits14,mean_pool,5,1,20,0.8490999937057495,0.846829271823456
cifar10,dinov2_vits14,mean_pool,5,2,1,0.8227999806404114,0.819800449639288
cifar10,dinov2_vits14,mean_pool,5,2,5,0.8474000096321106,0.8443126445816113
cifar10,dinov2_vits14,mean_pool,5,2,20,0.8518999814987183,0.8486857079767514
cifar10,dinov2_vits14,mean_pool,10,0,1,0.8324000239372253,0.831788675224103
cifar10,dinov2_vits14,mean_pool,10,0,5,0.8608999848365784,0.8593321029063077
cifar10,dinov2_vits14,mean_pool,10,0,20,0.8694999814033508,0.8681582173073448
cifar10,dinov2_vits14,mean_pool,10,1,1,0.8479999899864197,0.8461247407257437
cifar10,dinov2_vits14,mean_pool,10,1,5,0.8651000261306763,0.8630140261804012
cifar10,dinov2_vits14,mean_pool,10,1,20,0.869700014591217,0.8676993066389805
cifar10,dinov2_vits14,mean_pool,10,2,1,0.8432999849319458,0.8418169152838729
cifar10,dinov2_vits14,mean_pool,10,2,5,0.8669000267982483,0.8652666025663169
cifar10,dinov2_vits14,mean_pool,10,2,20,0.8734999895095825,0.871704994784716
cifar10,dinov2_vits14,mean_pool,20,0,1,0.8618000149726868,0.8615943570702628
cifar10,dinov2_vits14,mean_pool,20,0,5,0.8913999795913696,0.8908998411474519
cifar10,dinov2_vits14,mean_pool,20,0,20,0.9018999934196472,0.901204135935393
cifar10,dinov2_vits14,mean_pool,20,1,1,0.8598999977111816,0.8583845988939759
cifar10,dinov2_vits14,mean_pool,20,1,5,0.8835999965667725,0.882049783742102
cifar10,dinov2_vits14,mean_pool,20,1,20,0.8895999789237976,0.8882527470980314
cifar10,dinov2_vits14,mean_pool,20,2,1,0.8769000172615051,0.8766196154607991
cifar10,dinov2_vits14,mean_pool,20,2,5,0.8960000276565552,0.8956671490741819
cifar10,dinov2_vits14,mean_pool,20,2,20,0.9024999737739563,0.901921528750154
cifar10,dinov2_vits14,mean_pool,50,0,1,0.8885999917984009,0.8880415782720809
cifar10,dinov2_vits14,mean_pool,50,0,5,0.9111999869346619,0.9107124032165121
cifar10,dinov2_vits14,mean_pool,50,0,20,0.9210000038146973,0.920498418992741
cifar10,dinov2_vits14,mean_pool,50,1,1,0.8870999813079834,0.8860427600746595
cifar10,dinov2_vits14,mean_pool,50,1,5,0.9057000279426575,0.9047838885936812
cifar10,dinov2_vits14,mean_pool,50,1,20,0.9114000201225281,0.9104533090434378
cifar10,dinov2_vits14,mean_pool,50,2,1,0.8855999708175659,0.8852789345788811
cifar10,dinov2_vits14,mean_pool,50,2,5,0.904699981212616,0.904101399300415
cifar10,dinov2_vits14,mean_pool,50,2,20,0.9139000177383423,0.9132051322117285
cifar10,dinov2_vits14,mean_pool,100,0,1,0.9016000032424927,0.9013352371700496
cifar10,dinov2_vits14,mean_pool,100,0,5,0.9208999872207642,0.9205144517438211
cifar10,dinov2_vits14,mean_pool,100,0,20,0.9277999997138977,0.9274649255035529
cifar10,dinov2_vits14,mean_pool,100,1,1,0.902999997138977,0.9023285667677852
cifar10,dinov2_vits14,mean_pool,100,1,5,0.9186000227928162,0.9180926469320074
cifar10,dinov2_vits14,mean_pool,100,1,20,0.9218000173568726,0.9212704376126595
cifar10,dinov2_vits14,mean_pool,100,2,1,0.9035000205039978,0.9033661859276944
cifar10,dinov2_vits14,mean_pool,100,2,5,0.9223999977111816,0.9221632329841052
cifar10,dinov2_vits14,mean_pool,100,2,20,0.9298999905586243,0.9296093085345676
cifar10,dinov2_vits14_reg,cls,1,0,1,0.7480999827384949,0.7437207457869196
cifar10,dinov2_vits14_reg,cls,1,0,5,0.7480999827384949,0.7437207457869196
cifar10,dinov2_vits14_reg,cls,1,0,20,0.7480999827384949,0.7437207457869196
cifar10,dinov2_vits14_reg,cls,1,1,1,0.6601999998092651,0.6538986929162622
cifar10,dinov2_vits14_reg,cls,1,1,5,0.6601999998092651,0.6538986929162622
cifar10,dinov2_vits14_reg,cls,1,1,20,0.6601999998092651,0.6538986929162622
cifar10,dinov2_vits14_reg,cls,1,2,1,0.6377000212669373,0.6104961211875216
cifar10,dinov2_vits14_reg,cls,1,2,5,0.6377000212669373,0.6104961211875216
